Id;Stanice;TUDU;Km;GPS
131;T¯ebovice v ».;1901B1;6.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4969430552589,49.8583369445801,'null'),'null','null')
132;Bohuslav.n.M.zast.;156106;43.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.079554444419,50.3119205559624,'null'),'null','null')
133;Rudoltice v ».;1901C1;14.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.571836944686,49.8927380551232,'null'),'null','null')
134;Poho¯Ì;156106;40.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0788869444529,50.2914530558056,'null'),'null','null')
135;éichlÌnek;190106;21.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6551302777396,49.8603352779812,'null'),'null','null')
136;KrasÌkov;1901D1;23.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6869558334351,49.8488658332825,'null'),'null','null')
137;Tatenice;190108;25.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7055147224002,49.8553077777227,'null'),'null','null')
138;Lukov· u Rud.v ».;190106;17.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6045755555895,49.8800838883718,'null'),'null','null')
139;Dobruöka;1571A1;0;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1519386111365,50.2896805556615,'null'),'null','null')
140;Dobruöka-Pulice;1571B1;2.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1213141669167,50.2844327777624,'null'),'null','null')
141;Bolehoöù;1561B1;31.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0647191662259,50.2170483333204,'null'),'null','null')
142;OËelice;156104;34.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0632302782271,50.243522222307,'null'),'null','null')
143;Borohr·dek;1491D1;16.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0855547222826,50.0969422223833,'null'),'null','null')
144;éÔ·r n.Orl.;149108;19.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0672161111236,50.1191199999385,'null'),'null','null')
145;»ermn· n.Orl.;1491C1;11;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1358150000042,50.0647627777523,'null'),'null','null')
146;⁄jezd u Choc.;1491B1;6.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1778644445207,50.0322408337063,'null'),'null','null')
147;Plch˘vky;149104;7.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1620391665565,50.0388658332825,'null'),'null','null')
