Id;Stanice;TUDU;Km;GPS
353;ChvaleË;1471B1;8.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0380400000678,50.5994147226546,'null'),'null','null')
354;Janovice u Trut.;1471D1;16.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0855658332507,50.5860386112001,'null'),'null','null')
355;Adröpach;1471E1;24.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1263530551063,50.6154088889228,'null'),'null','null')
356;Hodkovice u Trut.;147108;18.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0720186111662,50.6047274997499,'null'),'null','null')
357;H.Adröpach;147108;21.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0830872217814,50.6232000001272,'null'),'null','null')
358;Teplice n.M.sk·ly;147110;28.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1497158336639,50.5969483333164,'null'),'null','null')
359;Teplice n.M.mest.;147112;30.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1722986110052,50.5930972226461,'null'),'null','null')
360;MalÈ SvatoÚovice;1651F1;35.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0487305556403,50.5304108333588,'null'),'null','null')
361;Suchovröice;165112;39.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0054941664802,50.5323805554708,'null'),'null','null')
362;V.SvatoÚovice;165112;38.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0222208335665,50.5404866668913,'null'),'null','null')
363;RtynÏ v Podkrk.;165110;33.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0730891667472,50.5157519446479,'null'),'null','null')
364;»erven˝ Kostelec;1651E1;28.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0755194446776,50.4853761111365,'null'),'null','null')
365;RtynÏ v Podk.zast.;165110;30.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0912750000424,50.4995516671075,'null'),'null','null')
366;Oleönice;165108;25;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.084246944454,50.4573922220866,'null'),'null','null')
367;StarkoË;1651D1;18.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0983299997118,50.4114833333757,'null'),'null','null')
368;ÿeöetova Lhota;165108;21.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1029113888741,50.4304649999407,'null'),'null','null')
369;».Skalice;1651C1;12.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0537077776591,50.3947511111365,'null'),'null','null')
370;V.Jesenice;165104;8.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0251475000381,50.3730194446776,'null'),'null','null')
371;Pardubice-SemtÌn;161202;4.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7482672225104,50.0619788890415,'null'),'null','null')
372;PlaËice;1302T1;23.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.775026111073,50.1876402778096,'null'),'null','null')
373;Z·dulka;2002O1;240.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4755052778456,49.8563541666667,'null'),'null','null')
374;Les;1883B1;4.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4768150001102,49.8652611107296,'null'),'null','null')
377;RaËice n.Tr.n·kl.;1641C1;6.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7985074996948,50.3073177777396,'null'),'null','null')
